transformer_id,timestamp,frequency_hz,magnitude_db,phase_deg,winding,label
TX-1,2026-07-08T11:30:00Z,10.0,-17.905304,8.154918,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,10.227859,-18.356907,8.217823,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,10.46091,-18.350449,8.70348,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,10.699271,-18.595796,8.656495,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,10.943064,-19.314639,8.91285,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,11.192412,-19.513068,8.491268,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,11.447441,-19.604338,9.239864,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,11.708281,-19.98604,9.63827,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,11.975065,-20.264784,8.695249,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,12.247928,-20.721655,8.814331,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,12.527008,-20.800162,9.778154,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,12.812447,-21.159843,9.228931,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,13.104391,-21.616208,9.914709,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,13.402986,-21.81086,9.208876,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,13.708385,-22.266936,9.984563,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,14.020743,-22.825391,9.454718,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,14.340219,-23.001966,9.486938,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,14.666974,-23.562265,9.972059,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,15.001174,-23.647222,9.144099,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,15.342989,-24.145478,8.834258,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,15.692593,-24.522215,8.93165,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,16.050163,-24.949697,9.170107,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,16.415881,-25.012926,8.218015,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,16.789931,-25.563053,8.930875,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,17.172505,-25.941679,8.26781,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,17.563796,-26.261014,8.72524,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,17.964004,-26.451586,7.066142,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,18.37333,-26.791644,7.441522,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,18.791983,-27.090745,6.788139,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,19.220175,-27.384825,6.812865,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,19.658124,-27.415089,6.896952,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,20.106052,-28.073847,6.354543,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,20.564187,-28.35556,5.92704,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,21.032761,-28.655623,5.540749,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,21.512011,-28.684764,5.235821,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,22.002182,-28.840038,4.275314,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,22.503522,-29.247241,4.460234,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,23.016285,-29.565477,3.916181,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,23.540732,-29.761042,3.254027,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,24.077129,-29.726455,2.747293,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,24.625748,-29.888205,2.044243,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,25.186868,-30.083131,2.117657,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,25.760774,-30.41896,0.624387,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,26.347756,-30.428881,-0.129616,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,26.948114,-30.581298,-0.994993,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,27.562151,-30.692163,-1.813211,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,28.19018,-30.712085,-2.623821,HV,insulation_related_abnormality_suspected
TX-1,2026-07-08T11:30:00Z,28.832519,-30.919413,-3.225304,HV,insulation_related_abnormality_suspected
